ID	DOCULECT	GLOSS_IN_SOURCE	CONCEPT	IPA	TOKENS	NOTE	BORROWING	CHINESE	COGID	RGEN	HANZI	SOURCE	ENTRY_IN_SOURCE
17363	rGyalrong_Maerkang	forest	the forest	ʃə khɑ	ʃ ə _ kh ɑ				683	347537		STEDT/TBL	ʃə khɑ
17365	Tibetan_Batang	river	the river	tɕhᴜ⁵³	tɕʰ ᴜ ⁵³				400	346495		STEDT/TBL	tɕhᴜ⁵³
17366	Jingpho	buy	to buy	mă³¹|ʒi³³	m ă ³¹ ◦ ʒ i ³³	!			685	420204		STEDT/TBL	mă³¹|ʒi³³
17370	rGyalrong_Maerkang	salt	the salt	tshɐ	tsh ɐ		tib[tsʰʷa]		4160	348118		STEDT/TBL	tshɐ
17374	Jingpho	scratch (an itch)	to scratch	mă³¹|khjit³¹	m ă ³¹ ◦ kʰ j i t ³¹	!			2441	420864		STEDT/TBL	mă³¹|khjit³¹
17378	rGyalrong_Maerkang	head	the head	tɑ ko	t ɑ _ k o				1426	348792		STEDT/TBL	tɑ ko
17379	rGyalrong_Maerkang	hair	the hair (of the head)	tɑ ko rȵᴇ	t ɑ _ k o _ r ȵ ᴇ	!			2014	348848		STEDT/TBL	tɑ ko rȵᴇ
17380	Motuo_Menba	chew	to chew	mur	m u r		tib mur		2448	415931		STEDT/TBL	mur
17382	rGyalrong_Maerkang	eye	the eye	tə mȵɑk	t ə _ m ȵ ɑ k	!			4	349054		STEDT/TBL	tə mȵɑk
17383	rGyalrong_Maerkang	nose	the nose	tə ʃnɑ	t ə _ ʃ n ɑ				2090	349104		STEDT/TBL	tə ʃnɑ
17385	Jingpho	run	to run	kat³¹	k a t ³¹				2452	421516		STEDT/TBL	kat³¹
17387	rGyalrong_Maerkang	mouth	the mouth	tə khɑ	t ə _ kh ɑ		Tib[kha]		10405	349311		STEDT/TBL	tə khɑ
17389	Tibetan_Lhasa	otter	the otter	tʂam⁵⁵	tʂ a m ⁵⁵				1290	361507		STEDT/TBL	tʂam⁵⁵
17390	rGyalrong_Maerkang	neck	the neck	tə mki	t ə _ m k i	!			695	349572		STEDT/TBL	tə mki
17391	rGyalrong_Maerkang	shoulder	the shoulder	tɑ rpɑk	t ɑ _ r p ɑ k	!			13	349626		STEDT/TBL	tɑ rpɑk
17392	rGyalrong_Maerkang	armpit	the armpit	tɑ pjɑ kᴇ	t ɑ _ p j ɑ _ k ᴇ				3172	349729		STEDT/TBL	tɑ pjɑ kᴇ
17393	rGyalrong_Maerkang	breast	the breast (female)	tə nu	t ə _ n u				10186	349830		STEDT/TBL	tə nu
17396	Motuo_Menba	live / reside	to reside (live)	tɕho	tɕh o				698	417204		STEDT/TBL	tɕho
17397	rGyalrong_Maerkang	thigh	the thigh	tə phək pɑ	t ə _ ph ə k _ p ɑ				699	350143		STEDT/TBL	tə phək pɑ
17400	rGyalrong_Maerkang	foot	the foot	tɑ mᴇ	t ɑ _ m ᴇ				701	350298		STEDT/TBL	tɑ mᴇ
17409	Jingpho	marry (a woman)	to marry (a man marries a woman)	num³³ la⁵⁵	n u m ³³ _ l a ⁵⁵	la55 'take'			738	423108		STEDT/TBL	num³³ la⁵⁵
17410	rGyalrong_Maerkang	skin	the skin	tə ndʐi	t ə _ n dʐ i	!			2473	351166		STEDT/TBL	tə ndʐi
17411	Motuo_Menba	cry	to cry (weep)	gep	g e p				3414	418709		STEDT/TBL	gep
17413	Motuo_Menba	come	to come	ʔu	ʔ u				709	418995		STEDT/TBL	ʔu
17417	rGyalrong_Maerkang	bone	the bone	ʃɐ rə	ʃ ɐ _ r ə	!			2	351835		STEDT/TBL	ʃɐ |rə
17421	Yidu	hot	hot	tɯ⁵⁵	t ɯ ⁵⁵				714	399658		STEDT/TBL	tɯ⁵⁵
17422	rGyalrong_Maerkang	tongue	the tongue	tə ʃmᴇ	t ə _ ʃ m ᴇ				3784	352142		STEDT/TBL	tə ʃmᴇ
17425	rGyalrong_Maerkang	lung	the lung	tə rtshos	t ə _ r tsh o s	!			716	352345		STEDT/TBL	tə rtshos
17426	rGyalrong_Maerkang	heart	the heart	tə ʃnᴇ	t ə _ ʃ n ᴇ				539	352395		STEDT/TBL	tə ʃnᴇ
17427	rGyalrong_Maerkang	liver	the liver	tə pʃu	t ə _ p ʃ u	!			2076	352446		STEDT/TBL	tə pʃu
17433	Jingpho	shoot (an arrow)	to shoot (an arrow)	kap³¹	k a p ³¹				727	424664		STEDT/TBL	kap³¹
17434	Tibetan_Lhasa	think	to think (reflect)	sam⁵²	s a m ⁵²				2500	430088		STEDT/TBL	sam⁵²
17435	Motuo_Menba	sleep	to sleep	jip	j i p				2244	426307		STEDT/TBL	jip
17436	Motuo_Menba	scratch (an itch)	to scratch	prat	p r a t		tib		2501	420853		STEDT/TBL	prat
17438	Motuo_Menba	throw up / vomit	to vomit	phros	pʰ r o s				2508	421079		STEDT/TBL	phros
17442	rGyalrong_Maerkang	child	the child (young human)	tɑ pu	t ɑ _ p u		Tib[bu]		4033	353689		STEDT/TBL	tɑ pu
17445	Motuo_Menba	run	to run	dʑoŋ	dʑ o ŋ				729	421504		STEDT/TBL	dʑoŋ
17446	rGyalrong_Maerkang	man	the man (male human)	tə tsɑ	t ə _ ts ɑ				730	353894		STEDT/TBL	tə tsɑ
17448	Motuo_Menba	float	to float	jum	j u m				732	421924		STEDT/TBL	jum
17451	Jingpho	count (numbers)	to count	thi⁵⁵	th i ⁵⁵	also 'to read'			29706	426036		STEDT/TBL	thi⁵⁵
17453	Jingpho	sleep	to sleep	jup⁵⁵	j u p ⁵⁵				2244	426319		STEDT/TBL	jup⁵⁵
17455	Tibetan_Xiahe	all / everything	all	ha no	h a _ n o				5662	394528		STEDT/TBL	ha no
17456	Jingpho	die	to die	si³³	s i ³³				163	426578		STEDT/TBL	si³³
17459	Motuo_Menba	marry (a woman)	to marry (a man marries a woman)	la	l a	la 'get, fetch'			738	423097		STEDT/TBL	la
17464	Jingpho	lie down	to lie down	kă³¹leŋ³¹	k ă ³¹ ◦ l e ŋ ³¹				1232	427050		STEDT/TBL	kă³¹leŋ³¹
17467	Motuo_Menba	knead (dough)	to knead	ȵe	ȵ e				4197	423838		STEDT/TBL	ȵe
17468	Tibetan_Xiahe	small	small	tɕhoŋ wo	tɕh o ŋ _ w o				742	394694		STEDT/TBL	tɕhoŋ wo
17469	Tibetan_Alike	wheat	the wheat	cço	cç o	!			3237	365985		STEDT/TBL	cço
17470	Lisu	lick / lap	to lick	lɯ̱³¹	l ɯ̱ ³¹				101	427696		STEDT/TBL	lɯ̱³¹
17472	Motuo_Menba	kill	to kill	ɕe	ɕ e				3125	424219		STEDT/TBL	ɕe
17475	rGyalrong_Maerkang	father	the father	tɐ pɐ	t ɐ _ p ɐ				107	356233		STEDT/TBL	tɐ pɐ
17477	rGyalrong_Maerkang	son	the son	tə tsɑ	t ə _ ts ɑ				73	356362		STEDT/TBL	tə tsɑ
17478	Motuo_Menba	shoot (an arrow)	to shoot (an arrow)	gap	g a p				727	424652		STEDT/TBL	gap
17479	rGyalrong_Maerkang	daughter	the daughter	tə mi	t ə _ m i				746	356467		STEDT/TBL	tə mi
17481	Jingpho	steal	to steal	lă³¹|ku⁵⁵	l ă ³¹ ◦ k u ⁵⁵	!			10464	428228		STEDT/TBL	lă³¹|ku⁵⁵
17482	Jingpho	throw / hurl	to throw	tʃiŋ³¹ khjen⁵⁵	tʃ i ŋ ³¹ _ kh j e n ⁵⁵				2554	428278		STEDT/TBL	tʃiŋ³¹ khjen⁵⁵
17483	Jingpho	spit	to spit	mă³¹tho⁵⁵	m ă ³¹ ◦ th o ⁵⁵				2555	428327		STEDT/TBL	mă³¹tho⁵⁵
17484	Jingpho	push / shove	to push	noŋ⁵⁵	n o ŋ ⁵⁵				2382	428375		STEDT/TBL	noŋ⁵⁵
17485	Jingpho	push / shove	to push	kă³¹noŋ⁵⁵	k ă ³¹ ◦ n o ŋ ⁵⁵				2382	428407		STEDT/TBL	kă³¹noŋ⁵⁵
17489	Jingpho	dig / scoop out	to dig	thu³¹	th u ³¹	also in Proto-northern Naga			711	428790		STEDT/TBL	thu³¹
17490	Jingpho	dig / scoop out	to dig	tʃe̱ʔ⁵⁵	tʃ e̱ ʔ ⁵⁵				2562	428823		STEDT/TBL	tʃe̱ʔ⁵⁵
17492	Dulong	this	this	jɑ⁵⁵	j ɑ ⁵⁵				2757	393484		STEDT/TBL	jɑ⁵⁵
17494	Jingpho	play / amuse oneself	to play	kă³¹sup⁵⁵tʃa̱i³³	k ă ³¹ ◦ s u p ⁵⁵ ◦ tʃ a̱ i ³³				2568	429034		STEDT/TBL	kă³¹sup⁵⁵tʃa̱i³³
17495	Jingpho	forget	to forget	mă³¹|lap³¹	m ă ³¹ ◦ l a p ³¹	!			3244	429087		STEDT/TBL	mă³¹|lap³¹
17496	Darang_Taraon	branch / twig	the branch	xɑ³¹ɹɑ⁵³	x ɑ ³¹ ◦ ɹ ɑ ⁵³				756	364146		STEDT/TBL	xɑ³¹ɹɑ⁵³
17498	Jingpho	smell	to smell (perceive odor) [transitive]	mă³¹nam⁵⁵	m ă ³¹ ◦ n a m ⁵⁵				67	429221		STEDT/TBL	mă³¹nam⁵⁵
17500	Jingpho	hold (a pen)	to hold	tʃum³³	tʃ u m ³³				310	429320		STEDT/TBL	tʃum³³
17501	rGyalrong_Maerkang	husband	the husband	phou jɑ	ph o u _ j ɑ				3992	357838		STEDT/TBL	phou jɑ
17502	rGyalrong_Maerkang	wife	the wife	tɑ rɟjɑp	t ɑ _ r ɟ j ɑ p				2935	357894		STEDT/TBL	tɑ rɟjɑp
17505	Tibetan_Xiahe	short	short	thoŋ thoŋ	th o ŋ _ th o ŋ				4170	395128		STEDT/TBL	thoŋ thoŋ
17514	Tibetan_Alike	fish	the fish	ȵæ	ȵ æ				186	437139		STEDT/TBL	ȵæ
17515	Tibetan_Xiahe	near	near	thaχ ȵi	th a χ _ ȵ i				7	395231		STEDT/TBL	thaχ ȵi
17516	rGyalrong_Maerkang	horn	the horn (keratinized skin)	tə ru	t ə _ r u				312	358718		STEDT/TBL	tə ru
17517	rGyalrong_Maerkang	hoof	the hoof	tɑ kɑ	t ɑ _ k ɑ				2609	358770		STEDT/TBL	tɑ kɑ
17519	rGyalrong_Maerkang	hair / down	the body hair (hair or fur)	tɑ rȵᴇ	t ɑ _ r ȵ ᴇ	!			141	358878		STEDT/TBL	tɑ rȵᴇ
17520	rGyalrong_Maerkang	tail	the tail	tɐ jmi	t ɐ _ j m i	!			84	358933		STEDT/TBL	tɐ jmi
17521	rGyalrong_Maerkang	horse	the horse	mbro	m b r o	!			3151	358988		STEDT/TBL	mbro
17525	rGyalrong_Maerkang	sheep	the sheep	kə jo	k ə _ j o				342	359343		STEDT/TBL	kə jo
17526	rGyalrong_Maerkang	goat	the goat	tʃhət	tʃh ə t				774	359396		STEDT/TBL	tʃhət
17529	Jingpho	learn	to learn	ʃă³¹ʒin⁵⁵	ʃ ă ³¹ ◦ ʒ i n ⁵⁵				2622	430837		STEDT/TBL	ʃă³¹ʒin⁵⁵
17530	Daofu	wood / log	the wood (material)	ndʐɛ mɛ	n dʐ ɛ _ m ɛ	!			2978	371199		STEDT/TBL	ndʐɛ mɛ
17532	rGyalrong_Maerkang	pig	the pig	pɑk	p ɑ k				2092	359814		STEDT/TBL	pɑk
17534	Motuo_Menba	bird	the bird	kha	kh a				778	361971		STEDT/TBL	kha
17535	Motuo_Menba	steal	to steal	dʐo pen ʔa	dʐ o _ p e n _ ʔ a				779	428216		STEDT/TBL	dʐo pen ʔa
17536	rGyalrong_Maerkang	dog	the dog	khənɑ	kh ə n ɑ				2065	360069		STEDT/TBL	khə nɑ
17538	Jingpho	bite	to bite	kă³¹wa⁵⁵	k ă ³¹ ◦ w a ⁵⁵				2634	431340		STEDT/TBL	kă³¹wa⁵⁵
17539	Motuo_Menba	dig / scoop out	to dig	bak	b a k				2636	428778		STEDT/TBL	bak
17541	rGyalrong_Maerkang	wing	the wing	tɑ rkhɑm	t ɑ _ r kh ɑ m	!			3327	360532		STEDT/TBL	tɑ rkhɑm
17542	Motuo_Menba	forget	to forget	ŋat	ŋ a t				2639	429075		STEDT/TBL	ŋat
17544	Motuo_Menba	hold (a pen)	to hold	tsuŋ	ts u ŋ				1986	429309		STEDT/TBL	tsuŋ
17545	rGyalrong_Maerkang	tiger	the tiger	khuŋ	kh u ŋ				2645	360850		STEDT/TBL	khuŋ
17546	Bokar	father	the father	a bo	a + b o				107	356246		STEDT/TBL	a bo
17549	Jingpho	tree	the tree	phun⁵⁵	ph u n ⁵⁵	PBG (Joseph and Burling) *po			2648	364042		STEDT/TBL	phun⁵⁵
17551	Tibetan_Xiahe	full	full	kaŋ wo	k a ŋ _ w o				1085	395706		STEDT/TBL	kaŋ wo
17552	rGyalrong_Maerkang	otter	the otter	tʃhə srɑm	tʃh ə _ s r ɑ m		tib		1290	361516		STEDT/TBL	tʃhə srɑm
17553	rGyalrong_Maerkang	mouse	the mouse or rat	pə ju	p ə _ j u	!			10424	361667		STEDT/TBL	pə |ju
17556	Motuo_Menba	laugh / smile	to laugh	ŋar	ŋ a r				791	430481		STEDT/TBL	ŋar
17559	rGyalrong_Maerkang	bird	the bird	pɑ tsɑ	p ɑ _ ts ɑ				462	361975		STEDT/TBL	pɑ tsɑ
17562	Motuo_Menba	learn	to learn	lam	l a m				439	430825		STEDT/TBL	lam
17565	rGyalrong_Maerkang	sparrow	the sparrow	pɑ tsɑ	p ɑ _ ts ɑ				3599	362483		STEDT/TBL	pɑ tsɑ
17578	rGyalrong_Maerkang	frog	the frog	khɑ ʃpɑ	kh ɑ _ ʃ p ɑ	!			145	437045		STEDT/TBL	khɑ ʃpɑ
17579	rGyalrong_Maerkang	fish	the fish	pʃəu jo	p ʃ ə u _ j o	!			804	437145		STEDT/TBL	pʃəu jo
17580	Jingpho	walk	to walk	khom³³	kh o m ³³				2677	434198		STEDT/TBL	khom³³
17583	rGyalrong_Maerkang	louse	the louse	sor	s o r				807	363211		STEDT/TBL	sor
17587	rGyalrong_Maerkang	mosquito	the mosquito	wɐs stsɐ	w ɐ s _ s ts ɐ	!			2689	363419		STEDT/TBL	wɐs stsɐ
17588	Tibetan_Lhasa	sky	the sky	nam¹³kha⁵⁵	n a m ¹³ ◦ kʰ a ⁵⁵				254	345037		STEDT/TBL	nam¹³kha⁵⁵
17590	rGyalrong_Maerkang	earthworm	the earthworm	khɐ rdə lu	kh ɐ _ r d ə _ l u	!			811	363572		STEDT/TBL	khɐ rdə lu
17591	Tibetan_Lhasa	moon	the moon	ta¹³wa⁵⁵	t a ¹³ ◦ w a ⁵⁵				2081	345146		STEDT/TBL	ta¹³wa⁵⁵
17592	rGyalrong_Maerkang	ant	the ant	kho |rok	kh o _ r o k				2954	363678		STEDT/TBL	kho |rok
17597	Tibetan_Lhasa	rainbow	the rainbow	tɕa¹³ (tɕha¹³)	tɕ a ¹³	!			94	345508		STEDT/TBL	tɕa¹³ (tɕha¹³)
17598	Tibetan_Lhasa	snow	the snow	khaŋ¹³²	kʰ a ŋ ¹³²				2796	345558		STEDT/TBL	khaŋ¹³²
17600	rGyalrong_Maerkang	branch / twig	the branch	tɐi jgɐ	t ɐ i _ j g ɐ	!			681	364135		STEDT/TBL	tɐi jgɐ
17601	Motuo_Menba	stand	to stand	laŋ	l a ŋ		tib laŋ		2265	432773		STEDT/TBL	laŋ
17602	rGyalrong_Maerkang	leaf	the leaf	tɐi wɐk	t ɐ i _ w ɐ k				881	364239		STEDT/TBL	tɐi wɐk
17603	rGyalrong_Maerkang	flower	the flower	mən tok	m ə n _ t o k		tib[me.tog]		248	364295		STEDT/TBL	mən tok
17604	rGyalrong_Maerkang	fruit	the fruit	ʃəŋ tok	ʃ ə ŋ _ t o k		Tibetan[ɕiŋ tog]		817	364346		STEDT/TBL	ʃəŋ tok
17605	Tibetan_Lhasa	ice	the ice	chak⁵⁵pa⁵²	ch a k ⁵⁵ ◦ p a ⁵²	ch?			818	345817		STEDT/TBL	chak⁵⁵pa⁵²
17606	Tibetan_Lhasa	fire	the fire	me¹³	m e ¹³				1746	345868		STEDT/TBL	me¹³
17607	Tibetan_Lhasa	smoke	the smoke	thuo¹³	th u o ¹³				1421	345918		STEDT/TBL	thuo¹³
17609	Motuo_Menba	know	to know (something)	se	s e				2279	433403		STEDT/TBL	se
17611	Tibetan_Lhasa	hill / mountain	the mountain	ri¹³	r i ¹³				121	346126		STEDT/TBL	ri¹³
17613	rGyalrong_Maerkang	bamboo	the bamboo	ɟjo	ɟ j o				821	364920		STEDT/TBL	ɟjo
17615	Tibetan_Xiahe	horizontal	horizontal	tʂhel	tʂh e l				268	396579		STEDT/TBL	tʂhel
17617	Tibetan_Lhasa	river	the river	tsaŋ⁵⁵po⁵⁵	ts a ŋ ⁵⁵ ◦ p o ⁵⁵				823	346544		STEDT/TBL	tsaŋ⁵⁵po⁵⁵
17618	Tibetan_Lhasa	lake	the lake	tsho⁵⁵	tsh o ⁵⁵				387	346551		STEDT/TBL	tsho⁵⁵
17619	Tibetan_Lhasa	sea	the sea	ca¹³tsho⁵³	c a ¹³ ◦ tsh o ⁵³				3122	346603		STEDT/TBL	ca¹³tsho⁵³
17624	rGyalrong_Maerkang	seed	the seed	tə rpi	t ə _ r p i	!			4165	365736		STEDT/TBL	tə rpi
17627	Tibetan_Lhasa	road	the road	laŋ¹³ka⁵²	l a ŋ ¹³ ◦ k a ⁵²				2206	346959		STEDT/TBL	laŋ¹³ka⁵²
17636	Tibetan_Lhasa	dust	the dust	thɛ⁵⁵la⁵⁵	th ɛ ⁵⁵ ◦ l a ⁵⁵				835	347272		STEDT/TBL	thɛ⁵⁵la⁵⁵
17642	Tibetan_Lhasa	forest	the forest	ɕiŋ⁵⁵na⁵²	ɕ i ŋ ⁵⁵ ◦ n a ⁵²				840	347578		STEDT/TBL	ɕiŋ⁵⁵na⁵²
17656	rGyalrong_Maerkang	grass	the grass	kɑ tsɑ	k ɑ _ ts ɑ				2792	367327		STEDT/TBL	kɑ tsɑ
17659	Daofu	firewood	firewood	mə si	m ə _ s i				6006	372400		STEDT/TBL	mə si
17661	rGyalrong_Maerkang	meat	the meat	ʃɑ	ʃ ɑ				10227	367695		STEDT/TBL	ʃɑ
17663	Tibetan_Alike	egg	the egg	wɕar rgoŋ	w ɕ a r _ r g o ŋ	!			850	368049		STEDT/TBL	wɕar rgoŋ
17664	Tibetan_Lhasa	head	the head	ko¹³	k o ¹³				1426	348783		STEDT/TBL	ko¹³
17666	rGyalrong_Maerkang	egg	the egg	tɑ gɑm	t ɑ _ g ɑ m				852	368055		STEDT/TBL	tɑ gɑm
17671	Tibetan_Lhasa	eye	the eye	mi⁵²	m i ⁵²				4	349045		STEDT/TBL	mi⁵²
17672	Tibetan_Lhasa	nose	the nose	nə⁵⁵ku⁵²	n ə ⁵⁵ ◦ k u ⁵²				2090	349095		STEDT/TBL	nə⁵⁵ku⁵²
17673	Tibetan_Lhasa	ear	the ear	am⁵⁵tɕo⁵²	a m ⁵⁵ ◦ tɕ o ⁵²				855	349146		STEDT/TBL	am⁵⁵tɕo⁵²
17677	Tibetan_Lhasa	mouth	the mouth	kha⁵⁵	kʰ a ⁵⁵				10405	349302		STEDT/TBL	kha⁵⁵
17684	Tibetan_Lhasa	neck	the neck	ke⁵⁵	k e ⁵⁵				695	349563		STEDT/TBL	ke⁵⁵
17685	Tibetan_Lhasa	neck (back of, hindneck, nape)	the neck	tɕiŋ¹³pə⁵⁵	tɕ i ŋ ¹³ ◦ p ə ⁵⁵				122	349613		STEDT/TBL	tɕiŋ¹³pə⁵⁵
17686	Tibetan_Lhasa	shoulder	the shoulder	puŋ⁵⁵pə⁵⁵	p u ŋ ⁵⁵ ◦ p ə ⁵⁵				10168	349617		STEDT/TBL	puŋ⁵⁵pə⁵⁵
17688	Tibetan_Lhasa	armpit	the armpit	tɕhɛ̃⁵⁵khuŋ⁵⁵	tɕʰ ɛ̃ ∼ ⁵⁵ ◦ kʰ u ŋ ⁵⁵				140	349720		STEDT/TBL	tɕhɛ̃⁵⁵khuŋ⁵⁵
17689	Tibetan_Lhasa	breast	the breast (female)	o¹³ma⁵⁵	o ¹³ ◦ m a ⁵⁵				862	349821		STEDT/TBL	o¹³ma⁵⁵
17690	Daofu	salty	salty	tshɛ khə	tsʰ ɛ + kʰ ə		tib		324	400377		STEDT/TBL	tshɛ khə
17691	Tibetan_Lhasa	belly	the belly	tʂho¹³ko⁵²	tʂh o ¹³ ◦ k o ⁵²				863	349925		STEDT/TBL	tʂho¹³ko⁵²
17694	Tibetan_Lhasa	thigh	the thigh	lɛ⁵⁵ɕa⁵⁵	l ɛ ⁵⁵ ◦ ɕ a ⁵⁵				865	350134		STEDT/TBL	lɛ⁵⁵ɕa⁵⁵
17695	Tibetan_Lhasa	knee	the knee	py⁵⁵mu⁵⁵	p y ⁵⁵ ◦ m u ⁵⁵				22	350185		STEDT/TBL	py⁵⁵mu⁵⁵
17697	Tibetan_Lhasa	foot	the foot	kaŋ³⁵pa⁵⁵	k a ŋ ³⁵ ◦ p a ⁵⁵				866	350289		STEDT/TBL	kaŋ³⁵pa⁵⁵
17700	Tibetan_Lhasa	hand	the hand	lak¹³pa⁵⁵	l a k ¹³ ◦ p a ⁵⁵				229	350490		STEDT/TBL	lak¹³pa⁵⁵
17707	rGyalrong_Maerkang	house	the house	tə tʃəm	t ə _ tʃ ə m				209	370330		STEDT/TBL	tə tʃəm
17720	Tibetan_Lhasa	blood	the blood	tʂha⁵²	tʂh a ⁵²				541	351623		STEDT/TBL	tʂha⁵²
17724	Tibetan_Lhasa	bone	the bone	ry⁵⁵ko⁵²	r y ⁵⁵ ◦ k o ⁵²				2	351875		STEDT/TBL	ry⁵⁵ko⁵²
17725	Zhaba_Daofu_County	hide (sthg.)	to hide (conceal)	ka³³sə⁵⁵	k a ³³ ◦ s ə ⁵⁵				2884	404616		STEDT/TBL	ka³³sə⁵⁵
17730	Tibetan_Lhasa	tongue	the tongue	tɕe⁵⁵le⁵²	tɕ e ⁵⁵ ◦ l e ⁵²				4190	352182		STEDT/TBL	tɕe⁵⁵le⁵²
17734	Tibetan_Lhasa	lung	the lung	loː⁵⁵	l oː ⁵⁵				177	352336		STEDT/TBL	loː⁵⁵
17735	Tibetan_Lhasa	heart	the heart	ȵiŋ⁵⁵	ȵ i ŋ ⁵⁵				539	352386		STEDT/TBL	ȵiŋ⁵⁵
17736	Tibetan_Lhasa	liver	the liver	tɕhĩ⁵⁵pə⁵⁵	tɕʰ ĩ ∼ ⁵⁵ ◦ p ə ⁵⁵				2076	352437		STEDT/TBL	tɕhĩ⁵⁵pə⁵⁵
17737	rGyalrong_Maerkang	firewood	firewood	ʃᴇ	ʃ ᴇ				6006	372399		STEDT/TBL	ʃᴇ
17738	Daofu	knife	knife	pə rzi	p ə _ r z i	!			3645	373167		STEDT/TBL	pə rzi
17750	rGyalrong_Maerkang	knife	knife	mbə rtsɑ	m b ə _ r ts ɑ	!			3645	373166		STEDT/TBL	mbə rtsɑ
17758	Tibetan_Lhasa	man	the man (male human)	cho⁵⁵ka⁵⁵	ch o ⁵⁵ ◦ k a ⁵⁵	ch?			2912	353885		STEDT/TBL	cho⁵⁵ka⁵⁵
17759	Tibetan_Lhasa	woman	the woman	phy¹³me⁵²	ph y ¹³ ◦ m e ⁵²				2913	353935		STEDT/TBL	phy¹³me⁵²
17760	Tibetan_Xiahe	soft	soft	hȵə mo	h ȵ ə _ m o				894	398283		STEDT/TBL	hȵə mo
17769	Motuo_Menba	who	who	ʔi bi	ʔ i _ b i				2924	394051		STEDT/TBL	ʔi bi
17780	Dulong	who	who	ɑ³¹mi⁵⁵	ɑ ³¹ + m i ⁵⁵				2930	394064		STEDT/TBL	ɑ³¹mi⁵⁵
17788	Lisu	sheep	the sheep	ɑ̱³³ʑo̱³³	ɑ̱ ³³ ʑ o̱ ³³				342	359372		STEDT/TBL	ɑ⁵⁵tʃhi̱³¹
17792	Tibetan_Lhasa	father	the father	a⁵⁵pa⁵⁵	a ⁵⁵ ◦ p a ⁵⁵				107	356224		STEDT/TBL	a⁵⁵pa⁵⁵
17793	Tibetan_Lhasa	father	the father	pa⁵⁵pa⁵⁵	p a ⁵⁵ ◦ p a ⁵⁵				107	356274		STEDT/TBL	pa⁵⁵pa⁵⁵
17794	Tibetan_Lhasa	mother	the mother	a⁵⁵ma⁵⁵	a ⁵⁵ ◦ m a ⁵⁵				902	356290		STEDT/TBL	a⁵⁵ma⁵⁵
17795	Tibetan_Lhasa	son	the son	phu¹³	ph u ¹³				726	356353		STEDT/TBL	phu¹³
17796	Tibetan_Lhasa	daughter	the daughter	pho¹³mo⁵⁵	ph o ¹³ ◦ m o ⁵⁵				903	356458		STEDT/TBL	pho¹³mo⁵⁵
17797	rGyalrong_Maerkang	rope / string	the rope	tə brᴇ	t ə _ b r ᴇ				10164	376784		STEDT/TBL	tə brᴇ
17801	rGyalrong_Maerkang	sickle	the sickle	tə ntwɑ	t ə _ n t w ɑ	!			3299	377043		STEDT/TBL	tə ntwɑ
17811	Lisu	ant	the ant	bo̱³¹lo̱³³	b o̱ ³¹ l o̱ ³³				2957	363707		STEDT/TBL	bu³¹
17812	Tibetan_Xiahe	new	new	sho ma	sʰ o _ m a	???			23	399011		STEDT/TBL	sho ma
17813	Tibetan_Lhasa	husband	the husband	cho⁵⁵ka⁵⁵	ch o ⁵⁵ ◦ k a ⁵⁵	ch??			5771	357829		STEDT/TBL	cho⁵⁵ka⁵⁵
17814	Tibetan_Lhasa	wife	the wife	a⁵⁵tɕe⁵⁵	a ⁵⁵ ◦ tɕ e ⁵⁵				5956	357885		STEDT/TBL	a⁵⁵tɕe⁵⁵
17815	Tibetan_Lhasa	wife	the wife	ce⁵⁵mɛ̃⁵⁵	c e ⁵⁵ ◦ m ɛ̃ ∼ ⁵⁵				5957	357935		STEDT/TBL	ce⁵⁵mɛ̃⁵⁵
17817	Yidu	mud	the mud	i⁵⁵li⁵⁵khɹi⁵⁵	i ⁵⁵ ◦ l i ⁵⁵ ◦ kh ɹ i ⁵⁵				2964	347347		STEDT/TBL	i⁵⁵li⁵⁵khɹi⁵⁵
17819	Jingpho	eat	to eat	ʃa⁵⁵	ʃ a ⁵⁵	Jingpo sh- < *ts-, compare sha 'son'=子			3419	405904		STEDT/TBL	ʃa⁵⁵
17823	Tibetan_Alike	liver	the liver	ntɕən bæ	n tɕ ə n _ b æ	!			2076	352440		STEDT/TBL	ntɕən bæ
17824	Daofu	red	red	gɛ ngi	g ɛ + n g i	!			911	396931		STEDT/TBL	gɛ ngi
17825	Tibetan_Alike	ant	the ant	cçok mæ	cç o k _ m æ	!			2954	363672		STEDT/TBL	cçok mæ
17826	Tibetan_Lhasa	horn	the horn (keratinized skin)	ra⁵⁵ko⁵²	r a ⁵⁵ ◦ k o ⁵²				312	358709		STEDT/TBL	ra⁵⁵ko⁵²
17827	Tibetan_Lhasa	hoof (odd number)	the hoof	mik⁵⁵pə⁵⁵	m i k ⁵⁵ ◦ p ə ⁵⁵				912	358761		STEDT/TBL	mik⁵⁵pə⁵⁵
17828	Tibetan_Lhasa	hoof (even number)	the hoof	sup⁵⁵thiː⁵⁵	s u p ⁵⁵ ◦ th iː ⁵⁵				913	358811		STEDT/TBL	sup⁵⁵thiː⁵⁵
17829	Tibetan_Lhasa	hair / down	the body hair (hair or fur)	pu⁵⁵	p u ⁵⁵				137	358869		STEDT/TBL	pu⁵⁵
17830	Tibetan_Lhasa	tail	the tail	ŋa⁵⁵ma⁵⁵	ŋ a ⁵⁵ ◦ m a ⁵⁵				914	358924		STEDT/TBL	ŋa⁵⁵ma⁵⁵
